Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
1,"ADÁMEK, K. V.",Lid na Hlinecku.,,Kniha,1900,1891,,,"Praha: Archaeologická kommisse při České akademii císaře Františka Josefa pro vědy, slovesnost a umění, 1900.",Bara
2,"AMBROŽ, J.",Telč JI.,,Excerpta,1965,1965,Telč JI,,1965.,Bara
3,"AMBROŽ, J.",Telč JI.,,Excerpta,1966,1966,Telč JI,,1966.,Bara
4,"AMBROŽ, J.",Telč JI.,,Excerpta,1967,1967,Telč JI,,1967.,Bara
5,"AMBROŽ, J.",Telč JI.,,Excerpta,1968,1968,Telč JI,,1968.,Bara
6,"AMBROŽ, J.",Telč JI.,,Excerpta,1969,1969,Telč JI,,1969.,Bara
7,"AMBROŽ, J.",Telč JI.,,Excerpta,1970,1970,Telč JI,,1970.,Bara
8,"BAAR, J. Š.",Pověsti z Chodska. Chodské pohádky a povídky.,,Kniha,1930,1922,,,"Praha: Českomoravské podniky tiskařské a vydavatelské v Praze, 1930.",Texty a slovníky
9,"BAAR, J. Š.",Tři povídky z Chodska.,,Kniha,1969,1916,Klenčí pod Čerchovem DO,,"Praha: Odeon, 1969.",Texty a slovníky
10,"BÁČA, A.",Nářeční slovník z oblasti přechodného pásu česko-moravského z okolí Bystrého.,,Studentská práce,1952,1952,Svojanov SY,,"Brno, 1952.",Bara
11,"BÁČA, A.",Svojanov SY (Starý Svojanov).,,Excerpta,1961,1961,Svojanov SY (Starý Svojanov),,1961.,Bara
12,"BÁČA, A.",Svojanov SY (Starý Svojanov).,,Excerpta,1964,1964,Svojanov SY (Starý Svojanov),,1964.,Bara
13,"BÁČA, A.",Svojanov SY (Starý Svojanov).,,Excerpta,1965,1965,Svojanov SY (Starý Svojanov),,1965.,Bara
14,"BÁČA, A.",Svojanov SY (Starý Svojanov).,,Excerpta,1972,1972,Svojanov SY (Starý Svojanov),,1972.,Bara
15,"BÁČOVÁ, M.",Diferenční nářeční slovník ve městě Hluk.,,Studentská práce,2006,2006,Hluk UH,,"Brno, 2006.",Bara
16,"BACHMANN, L.",Jak se mění jídelníček.,Naše řeč,Článek v časopise,1961,1961,,,"Naše řeč. 1961, roč. 44, č. 3–4, s. 127–128.",Bara
17,"BACHMANN, L.",Nářečí na Vysokomýtsku.,,Kniha,2001,1964,,,"Praha: Academia, 2001. ISBN 80-200-0859-4.",Texty a slovníky
